id, name                                     ,  cps , f-pkts , f-bytes ,    Mb/sec ,    MB/sec,    c-flows ,   PPS , total-Mbytes-duration , errors ,flows 
 00, avl/http_get.pcap                        ,  102 ,    44 ,   38182 ,   29.71 ,    3.71 ,         45 ,  4488 ,       0 , 0 , 1 
 01, avl/http_post.pcap                       ,  102 ,    54 ,   48900 ,   38.05 ,    4.76 ,         55 ,  5508 ,       0 , 0 , 1 
 02, avl/https.pcap                           ,   33 ,    96 ,   92387 ,   23.26 ,    2.91 ,         32 ,  3168 ,       0 , 0 , 1 
 03, avl/http_browsing.pcap                   ,  179 ,    37 ,   34721 ,   47.42 ,    5.93 ,         66 ,  6623 ,       1 , 0 , 1 
 04, avl/exchange.pcap                        ,   64 ,    43 ,   10192 ,    4.98 ,    0.62 ,         28 ,  2752 ,       0 , 0 , 1 
 05, avl/email_pop1.pcap                      ,    1 ,    20 ,    5763 ,    0.05 ,    0.01 ,          0 ,    24 ,       0 , 0 , 1 
 06, avl/email_pop2.pcap                      ,    1 ,   114 ,  102429 ,    0.94 ,    0.12 ,          1 ,   137 ,       0 , 0 , 1 
 07, avl/email_pop4_29.pcap                   ,    1 ,    30 ,   15870 ,    0.15 ,    0.02 ,          0 ,    36 ,       0 , 0 , 1 
 08, avl/oracle.pcap                          ,   20 ,   302 ,   58547 ,    8.93 ,    1.12 ,         60 ,  6040 ,       0 , 0 , 1 
 09, avl/rtp_160_0.pcap                       ,    1 ,    84 ,   97484 ,    0.52 ,    0.07 ,          1 ,    59 ,       0 , 0 , 1 
 10, avl/rtp_160_1.pcap                       ,    1 ,  1244 , 1138480 ,    6.08 ,    0.76 ,          9 ,   871 ,       0 , 0 , 1 
 11, avl/rtp_250k_1_0.pcap                    ,    0 ,   108 ,  147128 ,    0.56 ,    0.07 ,          1 ,    54 ,       0 , 0 , 1 
 12, avl/rtp_250k_2_0.pcap                    ,    0 ,  1920 , 1767018 ,    6.74 ,    0.84 ,         10 ,   960 ,       0 , 0 , 1 
 13, avl/smtp_1.pcap                          ,    2 ,    22 ,    5794 ,    0.08 ,    0.01 ,          0 ,    41 ,       0 , 0 , 1 
 14, avl/smtp_2.pcap                          ,    2 ,    35 ,   18624 ,    0.26 ,    0.03 ,          1 ,    65 ,       0 , 0 , 1 
 15, avl/smtp_3.pcap                          ,    2 ,   110 ,   97424 ,    1.38 ,    0.17 ,          2 ,   204 ,       0 , 0 , 1 
 16, avl/video_call_0.pcap                    ,    3 ,  2325 , 2551177 ,   58.39 ,    7.30 ,         70 ,  6975 ,       1 , 0 , 1 
 17, avl/video_rtp_1588_0.pcap                ,    7 ,  1558 ,  123704 ,    6.98 ,    0.87 ,        115 , 11529 ,       0 , 0 , 1 
 18, avl/citrix_0.pcap                        ,   11 ,   272 ,   86729 ,    7.28 ,    0.91 ,         30 ,  2992 ,       0 , 0 , 1 
 19, avl/dns_0.pcap                           ,  498 ,     2 ,     178 ,    0.68 ,    0.08 ,         10 ,   996 ,       0 , 0 , 1 
 20, avl/sip_0.pcap                           ,    7 ,     7 ,    2723 ,    0.15 ,    0.02 ,          1 ,    52 ,       0 , 0 , 1 
 21, avl/rtsp_0.pcap                          ,    1 ,    20 ,    4038 ,    0.04 ,    0.00 ,          0 ,    24 ,       0 , 0 , 1 

 00, sum                                      , 1040 ,  8447 , 6447492 ,  242.63 ,   30.33 ,        536 , 53596 ,       3 , 0 , 22 

