 id, name                                     ,  cps , f-pkts , f-bytes ,    Mb/sec ,    MB/sec,    c-flows ,   PPS , total-Mbytes-duration , errors ,flows 
 00, avl/delay_10_http_get_0.pcap             ,  102 ,    44 ,   38006 ,   29.58 ,    3.70 ,         45 ,  4488 ,       0 , 0 , 1 
 01, avl/delay_10_http_post_0.pcap            ,  102 ,    54 ,   48684 ,   37.89 ,    4.74 ,         55 ,  5508 ,       0 , 0 , 1 
 02, avl/delay_10_https_0.pcap                ,   33 ,    96 ,   92003 ,   23.16 ,    2.90 ,         32 ,  3168 ,       0 , 0 , 1 
 03, avl/delay_10_http_browsing_0.pcap        ,  179 ,    37 ,   34573 ,   47.22 ,    5.90 ,         66 ,  6623 ,       1 , 0 , 1 
 04, avl/delay_10_exchange_0.pcap             ,   64 ,    43 ,   10020 ,    4.89 ,    0.61 ,         28 ,  2752 ,       0 , 0 , 1 
 05, avl/delay_10_mail_pop_0.pcap             ,    1 ,    20 ,    5683 ,    0.05 ,    0.01 ,          0 ,    24 ,       0 , 0 , 1 
 06, avl/delay_10_mail_pop_1.pcap             ,    1 ,   114 ,  101973 ,    0.93 ,    0.12 ,          1 ,   137 ,       0 , 0 , 1 
 07, avl/delay_10_mail_pop_2.pcap             ,    1 ,    30 ,   15750 ,    0.14 ,    0.02 ,          0 ,    36 ,       0 , 0 , 1 
 08, avl/delay_10_oracle_0.pcap               ,   20 ,   302 ,   57339 ,    8.75 ,    1.09 ,         60 ,  6040 ,       0 , 0 , 1 
 09, avl/delay_10_rtp_160k_0.pcap             ,    1 ,    85 ,   98406 ,    0.53 ,    0.07 ,          1 ,    59 ,       0 , 0 , 1 
 10, avl/delay_10_rtp_160k_1.pcap             ,    1 ,  1246 , 1135325 ,    6.06 ,    0.76 ,          9 ,   872 ,       0 , 0 , 1 
 11, avl/delay_10_rtp_250k_0_0.pcap           ,    0 ,   126 ,  166496 ,    0.64 ,    0.08 ,          1 ,    63 ,       0 , 0 , 1 
 12, avl/delay_10_rtp_250k_1_0.pcap           ,    0 ,  1920 , 1759338 ,    6.71 ,    0.84 ,         10 ,   960 ,       0 , 0 , 1 
 13, avl/delay_10_smtp_0.pcap                 ,    2 ,    22 ,    5706 ,    0.08 ,    0.01 ,          0 ,    41 ,       0 , 0 , 1 
 14, avl/delay_10_smtp_1.pcap                 ,    2 ,    35 ,   18484 ,    0.26 ,    0.03 ,          1 ,    65 ,       0 , 0 , 1 
 15, avl/delay_10_smtp_2.pcap                 ,    2 ,   110 ,   96984 ,    1.37 ,    0.17 ,          2 ,   204 ,       0 , 0 , 1 
 16, avl/delay_10_video_call_0.pcap           ,    3 ,  2325 , 2541877 ,   58.18 ,    7.27 ,         70 ,  6975 ,       1 , 0 , 1 
 17, avl/delay_10_video_call_rtp_0.pcap       ,    7 ,  1408 ,  106412 ,    6.01 ,    0.75 ,        104 , 10419 ,       0 , 0 , 1 
 18, avl/delay_10_citrix_0.pcap               ,   11 ,   272 ,   85641 ,    7.19 ,    0.90 ,         30 ,  2992 ,       0 , 0 , 1 
 19, avl/delay_10_dns_0.pcap                  ,  498 ,     2 ,     170 ,    0.65 ,    0.08 ,         10 ,   996 ,       0 , 0 , 1 
 20, avl/delay_10_sip_0.pcap                  ,    7 ,     7 ,    2695 ,    0.15 ,    0.02 ,          1 ,    52 ,       0 , 0 , 1 
 21, avl/delay_10_rtsp_0.pcap                 ,    1 ,    23 ,    4382 ,    0.04 ,    0.01 ,          0 ,    28 ,       0 , 0 , 1 

 00, sum                                      , 1040 ,  8321 , 6425947 ,  240.47 ,   30.06 ,        525 , 52501 ,       3 , 0 , 22 
 create thread 0 nodes-0 socket: 0 
 
